DO,PH,NH3-N,NO2-N,SD,TYPE
7,7.5,0.0184 ,0.0456 ,40,Ⅰ类
7,7.5,0.0114 ,0.0406 ,45,Ⅰ类
7.1,7.5,0.0121 ,0.0336 ,50,Ⅰ类
7,7.5,0.0197 ,0.0397 ,40,Ⅰ类
7.5,7.4,0.0155 ,0.1299 ,40,Ⅰ类
7.8,7.5,0.0181 ,0.0354 ,40,Ⅰ类
7.9,7.7,0.0112 ,0.0355 ,40,Ⅰ类
7.6,7.1,0.0185 ,0.1423 ,40,Ⅰ类
7.2,7.1,0.0130 ,0.0499 ,40,Ⅰ类
7.2,7.1,0.0124 ,0.0844 ,40,Ⅰ类
7.5,7.1,0.0139 ,0.0279 ,45,Ⅰ类
7.4,7.3,0.0179 ,0.0343 ,45,Ⅰ类
7.6,7.5,0.0146 ,0.0262 ,45,Ⅰ类
7.4,7.5,0.0180 ,0.1413 ,45,Ⅰ类
7.1,7.4,0.0127 ,0.0306 ,45,Ⅰ类
8,7.5,0.0153 ,0.0303 ,45,Ⅰ类
8.2,7.2,0.0161 ,0.0225 ,45,Ⅰ类
7.8,7.2,0.0175 ,0.1094 ,40,Ⅰ类
7.1,7.4,0.0143 ,0.0436 ,45,Ⅰ类
7,7.3,0.0120 ,0.0301 ,40,Ⅰ类
7.6,7,0.0141 ,0.1039 ,40,Ⅰ类
7.4,7,0.0163 ,0.1167 ,45,Ⅰ类
7.5,7.4,0.0122 ,0.0272 ,45,Ⅰ类
7.5,7.5,0.0131 ,0.0413 ,50,Ⅰ类
7.9,7.3,0.0139 ,0.0473 ,40,Ⅰ类
7.2,7.4,0.0170 ,0.0953 ,40,Ⅰ类
7.6,7.3,0.0139 ,0.0379 ,40,Ⅰ类
7.4,7.4,0.0136 ,0.0494 ,40,Ⅰ类
7.8,7.4,0.0169 ,0.0701 ,40,Ⅰ类
7.1,7.4,0.0198 ,0.0362 ,40,Ⅰ类
7.9,7.2,0.0133 ,0.1074 ,40,Ⅰ类
7.1,7.5,0.0195 ,0.0244 ,40,Ⅰ类
7.6,7.5,0.0188 ,0.1018 ,40,Ⅰ类
7.6,7.5,0.0174 ,0.0481 ,40,Ⅰ类
7.8,7.4,0.0111 ,0.0237 ,40,Ⅰ类
7.2,7.5,0.0177 ,0.0426 ,40,Ⅰ类
7.1,7.5,0.0184 ,0.0882 ,40,Ⅰ类
7.9,7.5,0.0183 ,0.0429 ,40,Ⅰ类
7.4,7.4,0.0194 ,0.0313 ,45,Ⅰ类
7.5,7.5,0.0189 ,0.0643 ,40,Ⅰ类
7.8,7.2,0.0126 ,0.0406 ,40,Ⅰ类
7.4,7.4,0.0123 ,0.0246 ,45,Ⅰ类
7.3,7.4,0.0116 ,0.0481 ,40,Ⅰ类
7.3,7.2,0.0183 ,0.0888 ,50,Ⅰ类
7.4,7.4,0.0173 ,0.0293 ,55,Ⅰ类
7.5,7,0.0189 ,0.0321 ,40,Ⅰ类
7.1,7,0.0185 ,0.0445 ,45,Ⅰ类
7.2,7.2,0.0171 ,0.1294 ,40,Ⅰ类
7.3,7.3,0.0155 ,0.0415 ,50,Ⅰ类
7.3,7.4,0.0125 ,0.1029 ,40,Ⅰ类
7.5,7.4,0.0188 ,0.0884 ,45,Ⅰ类
7.5,7.3,0.0173 ,0.0461 ,40,Ⅰ类
7.4,7.4,0.0192 ,0.0289 ,50,Ⅰ类
7.3,7.3,0.0115 ,0.1033 ,55,Ⅰ类
7.3,7.2,0.0151 ,0.0458 ,50,Ⅰ类
7.5,7.4,0.0195 ,0.0254 ,45,Ⅰ类
7.5,7.4,0.0177 ,0.0474 ,40,Ⅰ类
7.2,7.4,0.0167 ,0.0739 ,45,Ⅰ类
7.1,7.3,0.0137 ,0.0311 ,50,Ⅰ类
6,7.3,0.0263 ,0.0050 ,30,Ⅱ类
5,7.2,0.0433 ,0.0040 ,30,Ⅱ类
7,7.4,0.0432 ,0.0060 ,35,Ⅱ类
6,7.3,0.0219 ,0.0050 ,40,Ⅱ类
5,7.6,0.1249 ,0.0040 ,40,Ⅱ类
6,7.7,0.0407 ,0.0050 ,40,Ⅱ类
6,7.9,0.0434 ,0.0060 ,30,Ⅱ类
5,7.6,0.0695 ,0.0050 ,30,Ⅱ类
5,7.8,0.0203 ,0.0180 ,30,Ⅱ类
6,8,0.1107 ,0.0200 ,35,Ⅱ类
7,8,0.0352 ,0.0260 ,35,Ⅱ类
7,7.5,0.0431 ,0.0100 ,35,Ⅱ类
7,7.8,0.0278 ,0.0150 ,35,Ⅱ类
7,7.7,0.0833 ,0.0180 ,40,Ⅱ类
5,7.7,0.0285 ,0.0200 ,40,Ⅱ类
6,7.5,0.0258 ,0.0220 ,40,Ⅱ类
6,7.5,0.0354 ,0.0240 ,35,Ⅱ类
