时间,收盘价
2007/5/8,25.48
2007/5/9,24.31
2007/5/10,23.12
2007/5/11,23.86
2007/5/14,23.13
2007/5/15,20.82
2007/5/16,22.9
2007/5/17,23.57
2007/5/18,23.79
2007/5/21,25.52
2007/5/22,24.93
2007/5/23,24.96
2007/5/24,25.38
2007/5/25,27.8
2007/5/28,26.93
2007/5/29,27.35
2007/5/30,24.62
2007/5/31,22.16
2007/6/1,19.94
2007/6/4,17.95
2007/6/5,19.01
2007/6/6,18.92
2007/6/7,20.81
2007/6/8,21.88
2007/6/11,23.59
2007/6/12,25.26
2007/6/13,25.18
2007/6/15,26.18
2007/6/18,26.29
2007/6/19,25.17
2007/6/20,25.55
2007/6/21,25.85
2007/6/22,23.59
2007/6/25,23.64
2007/6/26,24.03
2007/6/27,25.62
2007/6/28,23.64
2007/6/29,22.28
2007/7/2,21.01
2007/7/3,21.54
2007/7/4,20.83
2007/7/5,20.05
2007/7/6,21.66
2007/7/9,22.51
2007/7/10,22.58
2007/7/11,22.22
2007/7/12,21.92
2007/7/13,22.59
2007/7/16,20.8
2007/7/17,20.9
2007/7/18,20.56
2007/7/19,20.61
2007/7/20,22.09
2007/7/23,24.27
2007/7/24,24.32
2007/7/25,26.75
2007/7/26,28.13
2007/7/27,28.02
2007/7/30,27.31
2007/7/31,25.69
2007/8/1,25.69
2007/8/2,26.05
2007/8/3,26.21
2007/8/6,25.88
2007/8/7,27.59
2007/8/8,26.63
2007/8/9,26.42
2007/8/10,25.64
2007/8/13,25.22
2007/8/14,26.53
2007/8/15,26
2007/8/16,26.11
2007/8/17,26.16
2007/8/20,28.78
2007/8/21,29.76
2007/8/22,32.74
2007/8/23,33.07
2007/8/24,33.88
2007/8/27,31.24
2007/8/28,29.88
2007/8/29,29.84
2007/8/30,29.79
2007/8/31,30.59
2007/9/3,30.17
2007/9/4,29.27
2007/9/5,29.6
2007/9/6,29.4
2007/9/7,27.67
2007/9/10,29.76
2007/9/11,26.97
2007/9/12,27.64
2007/9/13,27.43
2007/9/14,27.05
2007/9/17,27.68
2007/9/18,28.24
2007/9/19,27.26
2007/9/20,27.13
2007/9/21,26.43
2007/9/24,26.59
2007/9/25,26.74
2007/9/26,27.09
2007/9/27,26.66
2007/9/28,26.94
